,Day,Synt Adult-Spouse,Synt Adult-Child,Synt Child-Adult,Synt Child-Child,Asynt Adult-Spouse,Asynt Adult-Child,Asynt Child-Adult,Asynt Child-Child
0,-5,2.6999999999999997,1.2,1.2735,0.756,1.5659999999999996,0.696,0.7386299999999999,0.43848
1,-4,8.1,3.6,3.8205,2.2680000000000002,4.697999999999999,2.0879999999999996,2.2158899999999995,1.31544
2,-3,24.3,10.8,11.461500000000001,6.804000000000001,14.093999999999998,6.264,6.64767,3.9463200000000005
3,-2,29.699999999999996,13.200000000000001,14.0085,8.316,17.225999999999996,7.656,8.124929999999999,4.8232800000000005
4,-1,35.1,15.600000000000001,16.555500000000002,9.828000000000001,20.357999999999997,9.048,9.60219,5.70024
5,0,37.8,16.8,17.829,10.584000000000001,21.923999999999996,9.744,10.340819999999999,6.13872
6,1,35.1,15.600000000000001,16.555500000000002,9.828000000000001,20.357999999999997,9.048,9.60219,5.70024
7,2,29.699999999999996,13.200000000000001,14.0085,8.316,17.225999999999996,7.656,8.124929999999999,4.8232800000000005
8,3,24.3,10.8,11.461500000000001,6.804000000000001,14.093999999999998,6.264,6.64767,3.9463200000000005
9,4,13.5,6.0,6.367500000000001,3.7800000000000007,7.829999999999998,3.48,3.6931499999999997,2.1924
10,5,8.1,3.6,3.8205,2.2680000000000002,4.697999999999999,2.0879999999999996,2.2158899999999995,1.31544
11,6,5.3999999999999995,2.4,2.547,1.512,3.1319999999999992,1.392,1.4772599999999998,0.87696
12,7,2.6999999999999997,1.2,1.2735,0.756,1.5659999999999996,0.696,0.7386299999999999,0.43848
13,8,1.3499999999999999,0.6,0.63675,0.378,0.7829999999999998,0.348,0.36931499999999995,0.21924
